RowID,PolType,PolicyNo,ForeName,Surname,Addr1,Addr2,Addr3,Postcode,DOB,mobile,eMail,RegNo,DrvLicNo,DeviceID,ABICode,ALFKey,Date_Inc,Date_Exp,OrinDate,CanDate
0,Van,VAN142688826,ISLA,Richardson,112 West End,Newcastle-upon-Tyne,Tyne and Wear,NC429LF,02/03/83,07959608799,IRichardson241@vodafone.com,LG40WVS,Richard19949299,d6011734,abi00670963606,ALF4106630,27/07/18,23/06/15,19/10/15,22/06/18
1,Loans,LOA241223547,LUNA,Taylor,975 Brookside Close,Cardiff,South Glamorgan,CF507BK,10/01/82,,L_Taylor@plusnet.com,,,d99974032,,ALF0164589,25/03/18,22/09/17,08/03/16,25/04/16
2,Van,VAN198572220,ISABELLE,Stevens,689 Finch Crescent,Liverpool,Merseyside,LV709LB,31/08/70,07938429326,ISABELLE_Stevens@virginmail.com,ZO86OMH,Stevens11003593,d10427365,abi06127200019,ALF6505727,29/05/16,06/12/16,29/01/16,18/07/18
3,MP,MP9924118007,EVA,Morris,550 Lovegrove Street,Coventry,West Midlands,CV414OT,14/04/44,07711132904,EVAMorris510@vodafone.uk,OX10QDO,Morris88995860,d3502472,abi98187371392,ALF9595386,29/01/19,23/05/17,26/08/18,05/05/18
4,Van,VAN802208917,AURORA,Morgan,82 Albert Road,Nottingham,Nottinghamshire,NT584EP,04/07/87,07958390874,A_Morgan@o2.com,OT90GFJ,Morgan89984041,d74451937,abi16708850425,ALF8381387,13/12/17,30/11/18,25/07/18,11/06/17
5,MP,MP3522717852,ELLIOT,Harvey,203 Foinaven Way,Chelmsford,Essex,CH412VX,24/07/95,07473980415,EHarvey531@aol.com,HH00RUI,Harvey80359547,d37070997,abi25366182919,ALF7031928,23/12/17,31/01/15,05/04/15,18/03/19
6,Travel,TRA836496373,MATILDA,Owen,54 Barn Close,Dundee,Angus,DD840OM,08/10/72,07841459236,M_Owen436@hotmail.com,,,d27962219,,ALF4826431,10/06/15,30/05/15,10/02/19,23/09/17
7,Van,VAN646348117,WILLOW,Green,462 Colchester Crest,Maidstone,Kent,MS727SM,05/03/51,07215820919,WGreen@googlemail.com,OV33ZJI,Green33110620,d75056750,abi33847171486,ALF4119470,15/10/18,28/04/16,20/08/15,21/03/17
8,Van,VAN646348117,WILLOW,Green,462 Colchester Crest,Maidstone,Kent,MS727SM,05/03/51,07215820919,WGreen@googlemail.com,TZ61FPG,Green33110620,d75056750,abi75461907211,ALF4119470,15/10/18,28/04/16,20/08/15,21/03/17
9,Van,VAN646348117,WILLOW,Green,462 Colchester Crest,Maidstone,Kent,MS727SM,05/03/51,07215820919,WGreen@googlemail.com,WK54GNI,Green33110620,d75056750,abi42761443951,ALF4119470,15/10/18,28/04/16,20/08/15,21/03/17
10,Van,VAN646348117,WILLOW,Green,462 Colchester Crest,Maidstone,Kent,MS727SM,05/03/51,07215820919,WGreen@googlemail.com,YD24FLT,Green33110620,d75056750,abi61801094869,ALF4119470,15/10/18,28/04/16,20/08/15,21/03/17
11,HH,HH6646094225,IVY,Ellis,361 Colchester Crest,Warrington,Cheshire,WA955HO,16/03/77,07867123279,IEllis@icloud.co.uk,,,d49967391,,ALF4104306,07/08/16,21/05/17,24/09/18,01/08/15
12,Van,VAN703215979,ARTHUR,Scott,22 Trinity Willows,Sunderland,Tyne and Wear,SD173CP,20/05/66,07960572692,ARTHURScott@googlemail.com,IG07DLG,Scott61288694,d48815858,abi63202897745,ALF3505248,12/05/16,27/04/16,05/02/19,13/05/16
13,MP,MP7052731092,MARTHA,Allen,835 Station Road,Leeds,West Yorkshire,LD902GW,19/06/00,07620776225,MAllen620@o2.uk,FM41XOC,Allen12338166,d4057378,abi78744668047,ALF7894132,05/01/16,29/03/18,04/04/18,15/12/16
14,Loans,LOA824551280,TOMMY,Taylor,918 Frances Wood,Southend-on-Sea,Essex,SS614LR,19/06/45,07405010725,TOMMYTaylor@o2.co.uk,,,d21188946,,ALF0910844,02/02/19,07/10/16,07/12/16,28/12/18
15,Motor,MOT918207864,RORY,Kelly,653 Clifton Road,Swindon,Wiltshire,SW841EZ,15/07/47,07104749624,RKelly708@aol.com,BX44GTI,Kelly35428002,d11317797,abi82493992629,ALF1760457,25/12/15,24/07/17,04/08/18,19/04/19
16,Van,VAN139602233,RILEY,Singh,861 Primrose Hill,Bristol,Avon,BL846CU,23/11/76,07988927515,RILEYSingh422@aol.mail.uk,WN17QYM,Singh39587653,d43804540,abi53387998641,ALF7571775,13/03/16,21/12/17,26/10/18,27/06/18
17,Loans,LOA148877927,THEODORE,Cox,614 Meadow Street,Slough,Berkshire,SG802QI,01/12/61,07349528440,T_Cox@ee.co.uk,,,d54250755,,ALF7203053,18/10/18,01/08/18,07/12/15,16/01/15
18,Motor,MOT665893550,SUMMER,Griffiths,552 Springfield Road,Swansea,West Glamorgan,SA761EW,05/05/90,07325528560,SUMMERGriffiths@yahoo.com,RL54NBU,Griffit27277836,d70499615,abi11859533853,ALF3927218,13/05/17,17/01/15,20/04/16,31/03/15
19,Motor,MOT710564833,EVA,Lewis,507 Harding Leys,Walsall,West Midlands,WL434XV,19/05/96,07785035709,E_Lewis134@aol.mail.uk,HJ11ZDR,Lewis87085856,d30288629,abi83043361392,ALF0785252,13/04/16,27/11/18,05/12/18,26/12/18
20,Travel,TRA152183623,PENELOPE,Watson,847 Woodland Way,Dudley,West Midlands,DY716LI,16/09/92,07201381868,PWatson@gmail.com,,,d12168060,,ALF6380375,26/11/15,24/06/16,07/09/15,23/11/17
21,Travel,TRA004234928,LIAM,Wilkinson,368 The Pastures,Peterborough,Cambridgeshire,PB530CP,26/10/60,07958988402,LIAM_Wilkinson740@mail.com,,,d52142425,,ALF4219575,18/10/15,10/01/18,28/03/17,20/06/17
22,MP,MP8864442079,CHARLES,Jackson,864 Silver Street,Cardiff,South Glamorgan,CF648DD,01/05/96,07372715418,CHARLESJackson178@icloud.co.uk,IX04DDT,Jackson73994037,d89756598,abi52986220324,ALF2252651,13/06/18,23/03/16,04/10/15,22/09/17
23,HH,HH5372694878,SOPHIE,Fisher,714 Church Road,Chelmsford,Essex,CH498UY,05/11/36,07934063728,SFisher520@hotmail.com,,,d76850692,,ALF2676384,17/07/16,09/11/15,06/09/16,21/01/16
24,Motor,MOT697352150,GABRIEL,Khan,459 Bridle Parade,Northampton,Northamptonshire,NN391LV,10/07/94,07375908806,GABRIELKhan798@plusnet.co.uk,YA80QMT,Khan76050565,d37233908,abi79829984675,ALF5996496,12/12/18,25/12/18,17/04/17,21/04/19
25,Travel,TRA887496513,LOUIE,Hussain,341 St Phillan's Lane,Stoke-on-Trent,Staffordshire,ST612CR,29/07/01,07180191080,LHussain268@o2.uk,,,d64744709,,ALF5855090,24/10/16,30/06/15,16/09/17,29/09/18
26,Loans,LOA404202306,EDITH,Ellis,683 New Road,Leicester,Leicestershire,LC388CX,08/10/76,07437870848,EEllis@vodafone.uk,,,d6144956,,ALF3107602,31/03/18,26/03/19,15/10/15,31/01/19
27,HH,HH5784912859,ZACHARY,Hughes,955 Primrose Hill,Ipswich,Suffolk,IP940OK,17/12/72,07976316611,ZACHARY_Hughes@aol.com,,,d35376042,,ALF3965228,14/08/16,09/03/17,09/11/18,19/01/15
28,Travel,TRA684257046,REGGIE,Dixon,961 The Drive,Manchester,Greater Manchester,MN210XY,01/12/47,07073487113,REGGIEDixon15@ee-mail.uk.com,,,d52474859,,ALF5225573,14/12/16,24/11/16,22/12/16,09/03/18
29,Motor,MOT694101942,HUGO,Collins,781 Vaughan Limes,Bolton,Greater Manchester,BO735PX,26/05/47,07170728676,HCollins@talktalk.net,IW66DQB,Collins62049435,d11265853,abi58173434708,ALF4275291,08/03/19,18/08/17,03/05/17,03/11/16
30,Loans,LOA225508142,CHLOE,Mills,629 Grange Road,Huddersfield,West Yorkshire,HD861BT,18/01/88,07962888221,CHLOE_Mills198@bt.com,,,d6827528,,ALF9577317,23/09/17,11/02/16,11/10/18,15/05/15
31,Van,VAN520470965,OLIVIA,Johnson,677 The Green,Middlesbrough,North Yorkshire,MB581DR,17/06/55,07242000880,OJohnson181@godaddy.co.uk,EQ22CZJ,Johnson49720306,d49132630,abi97063515577,ALF3207420,26/11/15,31/08/17,04/06/15,25/07/15
32,Motor,MOT902584294,LOUIE,Morgan,433 Robin Close,York,North Yorkshire,YK868NA,20/11/99,07670509489,LOUIEMorgan493@ee.co.uk,XD92MBL,Morgan30199996,d49992305,abi82368245437,ALF8206169,02/02/17,13/03/16,15/03/15,04/09/17
33,Van,VAN481891625,HENRY,Barnes,545 Ivy Close,Chelmsford,Essex,CH880EQ,23/01/52,07034917055,HENRYBarnes569@plusnet.com,XF22MCF,Barnes24686200,d68614805,abi67645644734,ALF2211468,11/09/18,20/04/16,11/04/16,08/11/18
34,MP,MP5928392462,SEBASTIAN,Simpson,71 Crawford Valley,Reading,Berkshire,RG665JU,25/10/98,07465216670,SEBASTIANSimpson@googlemail.co.uk,QW79UMO,Simpson49329825,d17728128,abi16065622849,ALF1001204,01/07/17,29/08/17,13/01/16,08/02/19
35,Travel,TRA715275499,HARRY,Edwards,368 Frobisher Pleasant,Maidstone,Kent,MS399NB,15/08/71,07881424684,HEdwards@ee.com,,,d19865612,,ALF4123908,02/10/18,27/01/19,01/01/16,18/12/17
36,Travel,TRA218976112,ORLA,Green,37 Laurel Avenue,Liverpool,Merseyside,LV884DH,28/04/45,07316893488,ORLAGreen@virgin.com,,,d52007716,,ALF5756194,19/03/19,17/03/16,19/01/17,14/09/15
37,Travel,TRA697616933,EMMA,Lee,207 Station Approach,Oxford,Oxfordshire,OX672VG,07/03/59,07645148924,EMMALee35@aol.mail.uk,,,d69373544,,ALF7412509,20/06/18,15/12/16,25/03/19,09/04/17
38,Loans,LOA490438574,DARCEY,Hussain,885 Bedford Road,York,North Yorkshire,YK440CB,17/11/59,07209015925,DARCEYHussain437@bt.com,,,d86061972,,ALF5989524,29/05/16,10/11/15,07/09/17,27/03/17
39,Travel,TRA057145388,MATILDA,Davis,411 St Mary's Close,Cambridge,Cambridgeshire,CE576UD,17/04/77,07513721205,MATILDA_Davis@vodafone.com,,,d79242704,,ALF6322515,12/05/15,19/08/18,03/03/18,07/10/18
40,Travel,TRA603705666,ARCHIE,Bennett,952 Thorold Road,Salford,Greater Manchester,SF191JO,30/05/79,07889878034,ABennett@ee.co.uk,,,d38268301,,ALF8102536,07/12/15,31/08/18,25/03/18,15/04/19
41,Loans,LOA978143567,ZACHARY,Edwards,969 St. John’s Road,Warrington,Cheshire,WA425GS,18/04/48,07171557819,ZEdwards828@plusnet.com,,,d29835540,,ALF7798080,08/08/18,11/07/16,22/04/16,19/07/18
42,Motor,MOT506486796,OLIVIA,Hunt,823 Canal Street,Bradford,West Yorkshire,BR916SP,26/10/41,07869382282,OLIVIA_Hunt401@yahoo.com,DQ90VOW,Hunt91530710,d53899731,abi84540698375,ALF7752857,05/07/16,20/12/17,18/09/17,02/09/16
43,Van,VAN825407241,MUHAMMAD,Bell,16 Chester Road,Preston,Lancashire,PR726YF,24/02/95,07912589856,MUHAMMAD_Bell@ee.com,CN73YVG,Bell85239413,d69759248,abi75969440299,ALF7346804,17/10/17,07/03/16,05/06/17,21/12/17
44,Loans,LOA858592243,VICTORIA,Ali,426 Station Road,Bolton,Greater Manchester,BO382YX,25/04/50,07438124131,VICTORIA_Ali571@aol.com,,,d46929894,,ALF9677435,12/08/15,13/06/16,01/04/17,29/08/15
45,Loans,LOA584565592,SIENNA,Martin,123 Mill Road,Sunderland,Tyne and Wear,SD890NU,19/10/37,07120525087,SIENNAMartin266@icloud.co.uk,,,d67509269,,ALF0306159,27/11/17,09/03/18,27/03/15,25/09/16
46,HH,HH2132844360,ELLIOTT,Jones,851 Station Approach,London,Greater London,LO243PH,18/07/78,07671953743,ELLIOTT_Jones730@mail.com,,,d81933246,,ALF4321283,08/04/16,04/03/19,08/03/15,29/05/17
47,MP,MP5396950621,EDITH,Mitchell,673 Beverley Close,Reading,Berkshire,RG349DQ,12/12/44,07122717716,E_Mitchell132@hotmail.com,EQ73IYS,Mitchel19124187,d61524427,abi69788754166,ALF2954125,10/07/15,13/06/18,21/05/17,29/01/15
48,MP,MP5307828414,ELSIE,Gray,552 Portland Road,Dudley,West Midlands,DY770JS,12/04/95,07668123412,ELSIEGray42@o2.uk,OS42CVD,Gray27653801,d52245835,abi11156405843,ALF8898117,30/07/18,01/05/17,11/04/19,22/03/17
49,HH,HH0237851353,PENELOPE,Butler,129 Langford Birches,York,North Yorkshire,YK147TX,17/01/55,07203609055,PENELOPEButler@godaddy.com,,,d24930024,,ALF5024884,29/05/15,20/03/17,19/05/15,08/08/18
