RowID,PolType,PolicyNo,ForeName,Surname,Addr1,Addr2,Addr3,Postcode,DOB,mobile,eMail,RegNo,DrvLicNo,DeviceID,ABICode,ALFKey,Date_Inc,Date_Exp,OrinDate,CanDate
1,Motor,P1111,John,Smith,101 Sesame Street,Penarth,Cardiff,CF123ZZ,1999-01-01,07912345678,john@smith.com,CF55SSS,SMITH010203,d123456,abi123456,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
2,HH,H2222,John,Smith,101 Sesame Street,Penarth,Cardiff,CF123ZZ,1999-01-01,07912345678,john@smith.com,,,d123456,,alf196605,2018-01-01,2018-01-01,2018-01-01,2018-01-01
3,MP,MP3333,John,Smith,101 Sesame Street,Penarth,Cardiff,CF123ZZ,1999-01-01,07912345678,john@smith.com,CF55SSS,SMITH010203,d123456,abi123456,alf196605,2018-01-01,2018-01-01,2018-01-01,2018-01-01
4,Travel,T4444,John,Smith,101 Sesame Street,Penarth,Cardiff,CF123ZZ,1999-01-01,07912345678,john@smith.com,,,d123456,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
5,Loans,L5555,John,Smith,101 Sesame Street,Penarth,Cardiff,CF123ZZ,1999-01-01,07912345678,john@smith.com,,,d123456,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
6,Van,V6666,John,Smith,101 Sesame Street,Penarth,Cardiff,CF123ZZ,1999-01-01,07912345678,john@smith.com,CF19ABC,SMITH010203,d123456,abi998877,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
7,Motor,P1117,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,NJ11LOL,Lewis010203,d112233,abi111222,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
8,Motor,,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,NJ11LOL,Lewis010203,d112233,abi111222,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
9,Motor,P1117,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,NJ11LOL,Lewis010203,d112233,abi111222,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
12,Motor,P1117,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,,,NJ11LOL,Lewis010203,d112233,abi111222,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
13,HH,H2227,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,,07980343536,Craig@Lewis.com,,,d112233,,alf123456,2018-01-01,2018-01-01,2018-01-01,2018-01-01
15,MP,MP3337,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,NJ11LOL,Lewis010203,d112233,abi111222,alf123456,2018-01-01,2018-01-01,2018-01-01,2018-01-01
19,MP,MP3337,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,,1974-10-20,07980343536,Craig@Lewis.com,NJ11LOL,Lewis010203,d112233,abi111222,alf123456,2018-01-01,2018-01-01,2018-01-01,2018-01-01
20,Travel,T4447,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,,1974-10-20,07980343536,Craig@Lewis.com,,,d112233,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
22,Travel,T4447,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,,,d112233,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
25,Loans,L5557,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,,,d112233,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
26,Loans,,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,,,d112233,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
27,Loans,L5557,Craig,Lewis,,,,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,,,d112233,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
28,Loans,L5557,Craig,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,,07980343536,Craig@Lewis.com,,,d112233,,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
29,Van,V6667,C,Lewis,345 Fir Tree Street,Pontypridd,Cardiff,CF840KK,1974-10-20,07980343536,Craig@Lewis.com,BO33ABC,,d112233,abi909808,,2018-01-01,2018-01-01,2018-01-01,2018-01-01
